trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.9954908927552453}",25,0,-144.04486175225577,"{0: 14, 1: 4, 2: 2, 3: 4, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.9953955378570153}",25,0,-131.15871692170614,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.9952991875633305}",25,0,-104.63399662435265,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.995201841970541}",20,0,-51.19851215997513,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9951035011759926}",30,0,-135.71768199186752,"{0: 21, 1: 4, 2: 2, 3: 0, 4: 3}",0
100,False,"{'a': 0.5, 'e': 0.9950041652780257}",20,0,-80.78834250738551,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.9949038343759766}",25,0,-117.30858534676959,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.994802508570176}",20,11,-47.013774402578555,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.9947001879619498}",30,0,-193.0520680767252,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
104,False,"{'a': 0.5, 'e': 0.9945968726536185}",20,0,-130.32291290923422,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.5, 'e': 0.9944925627484974}",20,0,-134.52923901330664,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
106,False,"{'a': 0.5, 'e': 0.9943872583508965}",20,0,-121.66407507219824,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.9942809595661201}",30,0,-265.8526000440807,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 5}",0
108,False,"{'a': 0.5, 'e': 0.9941736665004669}",25,0,-164.99774862997515,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
109,False,"{'a': 0.5, 'e': 0.9940653792612301}",20,10,-19.34302269788108,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.9939560979566968}",20,0,-205.93138523804794,"{0: 6, 1: 4, 2: 7, 3: 0, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.9938458226961485}",20,0,-148.14917221667275,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.9937345535898603}",25,0,-166.3756179894159,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
113,False,"{'a': 0.5, 'e': 0.9936222907491012}",25,0,-71.44804650050958,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.9935090342861344}",35,0,-257.1061159797259,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 5}",0
115,False,"{'a': 0.5, 'e': 0.9933947843142158}",25,0,-164.2075713892491,"{0: 10, 1: 4, 2: 9, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.9932795409475959}",30,7,-82.86299429688373,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.9931633043015177}",35,0,-235.81651585469257,"{0: 21, 1: 1, 2: 7, 3: 3, 4: 3}",0
118,False,"{'a': 0.5, 'e': 0.993046074492218}",25,0,-99.29381996250748,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
119,False,"{'a': 0.5, 'e': 0.9929278516369265}",20,0,-58.46004928822213,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.9928086358538663}",30,0,-172.58377945531228,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
121,False,"{'a': 0.5, 'e': 0.9926884272622528}",25,0,-115.59775309058917,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.9925672259822949}",25,9,-59.24154367121764,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.9924450321351935}",20,0,-20.38430518917545,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.9923218458431429}",20,0,-204.8821694386192,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
125,False,"{'a': 0.5, 'e': 0.992197667229329}",25,9,-60.48999707926404,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.9920724964179307}",30,0,-225.01218706202783,"{0: 15, 1: 5, 2: 5, 3: 2, 4: 3}",0
127,False,"{'a': 0.5, 'e': 0.9919463335341185}",20,8,-46.5861249077243,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.9918191787040556}",20,0,-183.08477729546908,"{0: 7, 1: 4, 2: 5, 3: 2, 4: 2}",0
129,False,"{'a': 0.5, 'e': 0.9916910320548965}",20,0,-70.28196242509425,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
130,False,"{'a': 0.5, 'e': 0.9915618937147881}",25,0,-141.76606497903063,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.9914317638128685}",30,0,-291.24394853695605,"{0: 13, 1: 3, 2: 7, 3: 3, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.9913006424792677}",30,14,-57.479397468951504,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.9911685298451072}",20,0,-35.339520150171126,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.9910354260424993}",25,0,-108.90540185155261,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.9909013312045479}",20,0,-148.3975017210179,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
136,False,"{'a': 0.5, 'e': 0.990766245465348}",30,0,-141.20192652984036,"{0: 17, 1: 1, 2: 10, 3: 1, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.9906301689599851}",20,0,-35.02010551685514,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.9904931018245359}",25,0,-67.81609594091644,"{0: 15, 1: 6, 2: 2, 3: 2, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.9903550441960673}",30,0,-187.23144020824134,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
140,False,"{'a': 0.5, 'e': 0.9902159962126371}",30,0,-73.78545947201494,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.9900759580132933}",30,10,-126.18342699885207,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",1
142,False,"{'a': 0.5, 'e': 0.9899349297380738}",20,0,-70.43778777075507,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.9897929115280072}",30,0,-121.39963415497964,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
144,False,"{'a': 0.5, 'e': 0.9896499035251115}",30,0,-161.1241577157738,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
145,False,"{'a': 0.5, 'e': 0.9895059058723947}",20,0,-102.02415192117479,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.9893609187138546}",20,0,-141.97008732583208,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.9892149421944781}",25,16,-31.737170517577706,"{0: 5, 1: 2, 2: 1, 3: 1, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.989067976460242}",20,0,-62.34339145051792,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.9889200216581118}",20,0,-109.30695613577025,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.9887710779360422}",35,0,-172.88948820470523,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
151,False,"{'a': 0.5, 'e': 0.9886211454429773}",30,0,-29.378010076103152,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.9884702243288492}",30,0,-181.2190175850117,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
153,False,"{'a': 0.5, 'e': 0.9883183147445792}",25,5,-154.09449648780185,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",1
154,False,"{'a': 0.5, 'e': 0.9881654168420767}",20,0,-47.72648376510275,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.9880115307742399}",20,0,-80.2398669097121,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.9878566566949545}",30,0,-145.1470129062661,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
157,False,"{'a': 0.5, 'e': 0.9877007947590948}",25,0,-157.36440130404927,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
158,False,"{'a': 0.5, 'e': 0.9875439451225226}",30,0,-64.43835864274621,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.9873861079420876}",25,0,-208.9018680136091,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
160,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,10,-50.42182546045378,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.9870674715819652}",20,0,-15.401368964909729,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
162,False,"{'a': 0.5, 'e': 0.986906672720914}",20,0,-139.0732475110759,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.9867448869532726}",35,0,-143.30956229969067,"{0: 23, 1: 2, 2: 8, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.9865821144408262}",35,0,-234.7423229504385,"{0: 17, 1: 5, 2: 9, 3: 1, 4: 3}",0
165,False,"{'a': 0.5, 'e': 0.9864183553463477}",20,0,-89.9679920767245,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 2}",0
166,False,"{'a': 0.5, 'e': 0.986253609833596}",30,0,-128.0043398882289,"{0: 22, 1: 3, 2: 2, 3: 0, 4: 3}",0
167,False,"{'a': 0.5, 'e': 0.9860878780673167}",30,0,-125.82271162136067,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
